# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
984717at2	Complete	NZ_CP069563.1	3832940	3833821	+	217.0	224	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NZ_CP069563.1	2997062	2998372	+	222.9	226	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NZ_CP069563.1	3202779	3201487	-	414.0	299	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NZ_CP069563.1	3157412	3159238	+	251.6	318	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NZ_CP069563.1	2537281	2537991	+	150.2	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NZ_CP069563.1	3812124	3813647	+	523.2	438	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Duplicated	NZ_CP069563.1	3928128	3929216	+	337.7	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	NZ_CP069563.1	3084348	3083257	-	302.9	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1054741at2	Duplicated	NZ_CP069563.1	1807999	1806938	-	291.5	323	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Duplicated	NZ_CP069563.1	2283833	2284738	+	119.6	187	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1069591at2	Duplicated	NZ_CP069563.1	2132407	2133327	+	117.0	149	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NZ_CP069563.1	5094352	5096037	+	262.7	386	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NZ_CP069563.1	1943806	1944849	+	394.7	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NZ_CP069563.1	2989533	2990867	+	315.8	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NZ_CP069563.1	3723484	3724218	+	189.1	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NZ_CP069563.1	2988125	2989393	+	205.7	251	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NZ_CP069563.1	3205431	3204730	-	113.4	121	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NZ_CP069563.1	3732751	3733356	+	190.9	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NZ_CP069563.1	428751	429770	+	219.0	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NZ_CP069563.1	3989604	3990359	+	405.9	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NZ_CP069563.1	3720362	3720979	+	161.1	157	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NZ_CP069563.1	2983153	2984067	+	129.8	156	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NZ_CP069563.1	5093155	5094348	+	329.4	290	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NZ_CP069563.1	4277097	4278452	+	117.9	153	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NZ_CP069563.1	3727183	3727752	+	143.1	129	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NZ_CP069563.1	4137056	4136061	-	218.2	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NZ_CP069563.1	3725854	3726411	+	207.2	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NZ_CP069563.1	3703981	3704493	+	64.0	101	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NZ_CP069563.1	2128059	2128748	+	46.4	85	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NZ_CP069563.1	2022360	2021791	-	127.1	128	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NZ_CP069563.1	4274440	4274982	+	22.8	85	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NZ_CP069563.1	4267155	4266541	-	229.0	183	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NZ_CP069563.1	3596018	3596959	+	169.0	218	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NZ_CP069563.1	3728124	3728642	+	201.1	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NZ_CP069563.1	3717309	3717785	+	179.6	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NZ_CP069563.1	3729311	3730657	+	314.8	300	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NZ_CP069563.1	3720979	3721605	+	111.8	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NZ_CP069563.1	1956709	1955720	-	144.5	149	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NZ_CP069563.1	1113737	1114414	+	56.0	87	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NZ_CP069563.1	2562682	2561429	-	470.5	368	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NZ_CP069563.1	3039403	3038936	-	32.6	39	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NZ_CP069563.1	3919982	3920818	+	237.8	185	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NZ_CP069563.1	1086957	1086340	-	143.2	144	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NZ_CP069563.1	3723068	3723478	+	106.2	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NZ_CP069563.1	3703267	3703965	+	207.3	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NZ_CP069563.1	2539778	2540338	+	142.1	132	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NZ_CP069563.1	1958043	1958606	+	125.5	103	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NZ_CP069563.1	3726772	3727167	+	173.3	129	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NZ_CP069563.1	2693168	2693521	+	115.4	88	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NZ_CP069563.1	746178	745306	-	147.3	144	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NZ_CP069563.1	3702808	3703251	+	122.9	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NZ_CP069563.1	3716748	3717149	+	173.0	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NZ_CP069563.1	3732242	3732631	+	144.5	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NZ_CP069563.1	4878695	4879147	+	191.7	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NZ_CP069563.1	2999733	2999005	-	34.5	76	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NZ_CP069563.1	1496078	1495425	-	83.8	95	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NZ_CP069563.1	3919475	3919861	+	106.9	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NZ_CP069563.1	3731850	3732230	+	141.5	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NZ_CP069563.1	4101350	4101694	+	46.3	71	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NZ_CP069563.1	3724242	3724676	+	144.1	103	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NZ_CP069563.1	3725148	3725513	+	130.2	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NZ_CP069563.1	3919007	3919468	+	144.0	113	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NZ_CP069563.1	3704542	3704916	+	83.4	85	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NZ_CP069563.1	2514803	2515222	+	69.1	70	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Fragmented	NZ_CP069563.1	2479200	2479691	+	63.7	66	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NZ_CP069563.1	3149580	3149999	+	67.2	76	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NZ_CP069563.1	3734364	3734849	+	94.3	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NZ_CP069563.1	2531443	2532198	+	46.8	89	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NZ_CP069563.1	711061	711987	+	155.8	182	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NZ_CP069563.1	3312628	3312176	-	108.0	108	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NZ_CP069563.1	3728860	3729306	+	75.2	83	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NZ_CP069563.1	3079615	3080487	+	55.7	91	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NZ_CP069563.1	3722763	3723032	+	130.4	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NZ_CP069563.1	2143005	2143274	+	123.9	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NZ_CP069563.1	1426620	1427207	+	39.6	68	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NZ_CP069563.1	1495061	1494711	-	118.0	91	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NZ_CP069563.1	86889	86344	-	97.0	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NZ_CP069563.1	748336	747797	-	79.9	152	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NZ_CP069563.1	4101697	4101969	+	85.7	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NZ_CP069563.1	2142665	2142982	+	112.6	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NZ_CP069563.1	4101981	4102424	+	69.5	86	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NZ_CP069563.1	3727774	3728118	+	130.9	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NZ_CP069563.1	3410314	3410646	+	98.1	107	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NZ_CP069563.1	3721622	3721912	+	96.9	87	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NZ_CP069563.1	3430484	3430215	-	91.7	67	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NZ_CP069563.1	2442283	2442642	+	81.8	80	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NZ_CP069563.1	3000143	3000397	+	57.7	64	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NZ_CP069563.1	3720038	3720343	+	130.2	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NZ_CP069563.1	3724888	3725145	+	93.3	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NZ_CP069563.1	3725534	3725854	+	55.9	54	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NZ_CP069563.1	1495359	1495162	-	37.1	31	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NZ_CP069563.1	3724682	3724879	+	27.1	30	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NZ_CP069563.1	3731473	3731691	+	93.0	55	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NZ_CP069563.1	1502868	1502452	-	41.4	66	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
