# gapseq version: 2.0.0
# Transporter sequence DB md5sum: b99a77e (2026-05-26)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q0P964|2.A.23.1.11	2.A.23.1.11	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|Q0P964|2.A.23.1.11	33.2	1.25e-73	232	91.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
gnl|TC-DB|Q0P964|2.A.23.1.11	2.A.23.1.11	fumarate	Fumarate	EX_cpd00106_e0	rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|TC-DB|Q0P964|2.A.23.1.11	33.2	1.25e-73	232	91.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
gnl|TC-DB|Q8YZW3|2.A.23.1.12	2.A.23.1.12	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|Q8YZW3|2.A.23.1.12	25.8	4.63e-29	111	89	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	9	404	transporter
gnl|TC-DB|Q8YZW3|2.A.23.1.12	2.A.23.1.12	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8YZW3|2.A.23.1.12	25.8	4.63e-29	111	89	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	9	404	transporter
gnl|TC-DB|Q5JID0|2.A.23.1.14	2.A.23.1.14	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|Q5JID0|2.A.23.1.14	31.7	1.8e-62	202	89.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	42	424	transporter
gnl|TC-DB|P24943|2.A.23.1.2	2.A.23.1.2	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P24943|2.A.23.1.2	56	4.29e-159	449	96.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	9	426	transporter
gnl|TC-DB|P24943|2.A.23.1.2	2.A.23.1.2	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P24943|2.A.23.1.2	56	4.29e-159	449	96.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	9	426	transporter
gnl|TC-DB|P24943|2.A.23.1.2	2.A.23.1.2	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P24943|2.A.23.1.2	56	4.29e-159	449	96.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	9	426	transporter
gnl|TC-DB|Q01857|2.A.23.1.3	2.A.23.1.3	fumarate	Fumarate	EX_cpd00106_e0	rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|TC-DB|Q01857|2.A.23.1.3	38.2	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	8	420	transporter
gnl|TC-DB|Q01857|2.A.23.1.3	2.A.23.1.3	malate	L-Malate	EX_cpd00130_e0	rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|TC-DB|Q01857|2.A.23.1.3	38.2	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	8	420	transporter
gnl|TC-DB|Q01857|2.A.23.1.3	2.A.23.1.3	Itaconate	Itaconate	EX_cpd00380_e0	rxn12562	gnl|TC-DB|Q01857|2.A.23.1.3	38.2	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	8	420	transporter
gnl|TC-DB|O59010|2.A.23.1.5	2.A.23.1.5	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|O59010|2.A.23.1.5	32.5	5.23e-69	219	95.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	12	419	transporter
gnl|TC-DB|O59010|2.A.23.1.5	2.A.23.1.5	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|O59010|2.A.23.1.5	32.5	5.23e-69	219	95.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	12	419	transporter
gnl|TC-DB|P96603|2.A.23.1.6	2.A.23.1.6	succinate	Succinate	EX_cpd00036_e0	rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|TC-DB|P96603|2.A.23.1.6	40	1.01e-107	318	96	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	424	transporter
gnl|TC-DB|P96603|2.A.23.1.6	2.A.23.1.6	fumarate	Fumarate	EX_cpd00106_e0	rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|TC-DB|P96603|2.A.23.1.6	40	1.01e-107	318	96	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	424	transporter
gnl|TC-DB|P96603|2.A.23.1.6	2.A.23.1.6	malate	L-Malate	EX_cpd00130_e0	rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|TC-DB|P96603|2.A.23.1.6	40	1.01e-107	318	96	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	424	transporter
gnl|TC-DB|Q1J1H5|2.A.23.1.9	2.A.23.1.9	succinate	Succinate	EX_cpd00036_e0	rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|TC-DB|Q1J1H5|2.A.23.1.9	36.2	9.69e-90	273	91.2	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
gnl|TC-DB|Q1J1H5|2.A.23.1.9	2.A.23.1.9	fumarate	Fumarate	EX_cpd00106_e0	rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|TC-DB|Q1J1H5|2.A.23.1.9	36.2	9.69e-90	273	91.2	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
gnl|TC-DB|Q1J1H5|2.A.23.1.9	2.A.23.1.9	malate	L-Malate	EX_cpd00130_e0	rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|TC-DB|Q1J1H5|2.A.23.1.9	36.2	9.69e-90	273	91.2	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
gnl|TC-DB|P24942|2.A.23.2.1	2.A.23.2.1	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P24942|2.A.23.2.1	24.7	2.55e-30	116	75.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P24942|2.A.23.2.1	2.A.23.2.1	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P24942|2.A.23.2.1	24.7	2.55e-30	116	75.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P24942|2.A.23.2.1	2.A.23.2.1	Potassium	K+	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|P24942|2.A.23.2.1	24.7	2.55e-30	116	75.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P24942|2.A.23.2.1	2.A.23.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P24942|2.A.23.2.1	24.7	2.55e-30	116	75.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|Q10901|2.A.23.2.10	2.A.23.2.10	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|Q10901|2.A.23.2.10	23.6	7.13e-31	117	79.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|Q10901|2.A.23.2.10	2.A.23.2.10	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|Q10901|2.A.23.2.10	23.6	7.13e-31	117	79.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|Q10901|2.A.23.2.10	2.A.23.2.10	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q10901|2.A.23.2.10	23.6	7.13e-31	117	79.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|B0W0K4|2.A.23.2.11	2.A.23.2.11	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|B0W0K4|2.A.23.2.11	28.4	3.1e-42	149	91.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	4	417	transporter
gnl|TC-DB|B0W0K4|2.A.23.2.11	2.A.23.2.11	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|B0W0K4|2.A.23.2.11	28.4	3.1e-42	149	91.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	4	417	transporter
gnl|TC-DB|P31596|2.A.23.2.2	2.A.23.2.2	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P31596|2.A.23.2.2	26.5	1.36e-34	129	78.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P31596|2.A.23.2.2	2.A.23.2.2	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P31596|2.A.23.2.2	26.5	1.36e-34	129	78.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P31596|2.A.23.2.2	2.A.23.2.2	Potassium	K+	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|P31596|2.A.23.2.2	26.5	1.36e-34	129	78.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P31596|2.A.23.2.2	2.A.23.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P31596|2.A.23.2.2	26.5	1.36e-34	129	78.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P43005|2.A.23.2.3	2.A.23.2.3	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P43005|2.A.23.2.3	24.8	2.95e-37	136	86.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	2	413	transporter
gnl|TC-DB|P43005|2.A.23.2.3	2.A.23.2.3	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P43005|2.A.23.2.3	24.8	2.95e-37	136	86.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	2	413	transporter
gnl|TC-DB|P43005|2.A.23.2.3	2.A.23.2.3	cysteine	L-Cysteine	EX_cpd00084_e0	rxn09690	gnl|TC-DB|P43005|2.A.23.2.3	24.8	2.95e-37	136	86.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	2	413	transporter
gnl|TC-DB|P43005|2.A.23.2.3	2.A.23.2.3	Potassium	K+	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|P43005|2.A.23.2.3	24.8	2.95e-37	136	86.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	2	413	transporter
gnl|TC-DB|P43005|2.A.23.2.3	2.A.23.2.3	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P43005|2.A.23.2.3	24.8	2.95e-37	136	86.3	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	2	413	transporter
gnl|TC-DB|Q8T0S9|2.A.23.2.4	2.A.23.2.4	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|Q8T0S9|2.A.23.2.4	24.5	6.64e-29	112	78.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	6	413	transporter
gnl|TC-DB|Q8T0S9|2.A.23.2.4	2.A.23.2.4	Taurine	Taurine	EX_cpd00210_e0	rxn12554	gnl|TC-DB|Q8T0S9|2.A.23.2.4	24.5	6.64e-29	112	78.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	6	413	transporter
gnl|TC-DB|Q8T0S9|2.A.23.2.4	2.A.23.2.4	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8T0S9|2.A.23.2.4	24.5	6.64e-29	112	78.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	6	413	transporter
gnl|TC-DB|O00341|2.A.23.2.5	2.A.23.2.5	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|O00341|2.A.23.2.5	25.9	8.39e-37	135	76.4	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	39	412	transporter
gnl|TC-DB|P43003|2.A.23.2.6	2.A.23.2.6	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P43003|2.A.23.2.6	24.5	4.65e-30	115	75.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P43003|2.A.23.2.6	2.A.23.2.6	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P43003|2.A.23.2.6	24.5	4.65e-30	115	75.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P43003|2.A.23.2.6	2.A.23.2.6	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P43003|2.A.23.2.6	24.5	4.65e-30	115	75.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P43004|2.A.23.2.7	2.A.23.2.7	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P43004|2.A.23.2.7	27.1	3.36e-36	134	78.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P43004|2.A.23.2.7	2.A.23.2.7	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P43004|2.A.23.2.7	27.1	3.36e-36	134	78.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P43004|2.A.23.2.7	2.A.23.2.7	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P43004|2.A.23.2.7	27.1	3.36e-36	134	78.6	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	411	transporter
gnl|TC-DB|P48664|2.A.23.2.8	2.A.23.2.8	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P48664|2.A.23.2.8	24.8	1.26e-32	123	75.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P48664|2.A.23.2.8	2.A.23.2.8	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P48664|2.A.23.2.8	24.8	1.26e-32	123	75.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|P48664|2.A.23.2.8	2.A.23.2.8	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P48664|2.A.23.2.8	24.8	1.26e-32	123	75.7	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	411	transporter
gnl|TC-DB|Q21353|2.A.23.2.9	2.A.23.2.9	Sodium	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q21353|2.A.23.2.9	24.8	4.78e-26	103	78.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	20	411	transporter
gnl|TC-DB|P43007|2.A.23.3.1	2.A.23.3.1	alanine	L-Alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|TC-DB|P43007|2.A.23.3.1	27.5	7.97e-34	126	76.5	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	46	423	transporter
